id,ident,type,name,latitude_deg,longitude_deg,municipality
26555,VIDP,large_airport,Indira Gandhi International Airport,28.5665,77.103104,New Delhi
26434,VABB,large_airport,Chhatrapati Shivaji International Airport,19.08869934,72.86789703,Mumbai
35145,VOBL,large_airport,Kempegowda International Airport,13.1979,77.706299,Bangalore
26618,VOMM,large_airport,Chennai International Airport,12.99000549,80.16929626,Chennai
26444,VAGO,large_airport,Dabolim Airport,15.38080025,73.83139801,Vasco da Gama
26609,VOCI,large_airport,Cochin International Airport,10.152,76.401901,Kochi
26496,VECC,large_airport,Netaji Subhash Chandra Bose International Airport,22.65469933,88.44670105,Kolkata
35141,VOHS,large_airport,Rajiv Gandhi International Airport,17.23131752,78.42985535,Hyderabad
26629,VOTV,large_airport,Trivandrum International Airport,8.48211956,76.92009735,Thiruvananthapuram
26431,VAAH,medium_airport,Sardar Vallabhbhai Patel International Airport,23.07719994,72.63469696,Ahmedabad
26563,VIJP,medium_airport,Jaipur International Airport,26.8242,75.812202,Jaipur
26603,VOBG,medium_airport,HAL Airport,12.94999981,77.66819763,Bangalore
26455,VAPO,medium_airport,Pune Airport,18.58209991,73.91970062,Pune
26540,VIAR,large_airport,Sri Guru Ram Dass Jee International Airport,31.70960045,74.79730225,Amritsar
26438,VABO,medium_airport,Vadodara Airport,22.336201,73.226303,Vadodara
26617,VOML,medium_airport,Mangalore International Airport,12.9612999,74.89009857,Mangalore
26615,VOHY,medium_airport,Begumpet Airport,17.4531002,78.46759796,Hyderabad
26545,VIBN,medium_airport,Lal Bahadur Shastri Airport,25.45240021,82.85929871,Varanasi
26610,VOCL,large_airport,Calicut International Airport,11.13679981,75.95529938,Calicut
26494,VEBS,medium_airport,Biju Patnaik Airport,20.24440002,85.81780243,Bhubaneswar
26607,VOCB,medium_airport,Coimbatore International Airport,11.02999973,77.04340363,Coimbatore
26501,VEGT,medium_airport,Lokpriya Gopinath Bordoloi International Airport,26.10610008,91.58589935,Guwahati
26517,VEPT,medium_airport,Lok Nayak Jayaprakash Airport,25.59129906,85.08799744,Patna
26446,VAID,medium_airport,Devi Ahilyabai Holkar Airport,22.72179985,75.80110168,Indore
26562,VIJO,medium_airport,Jodhpur Airport,26.25110054,73.04889679,Jodhpur
26616,VOMD,medium_airport,Madurai Airport,9.83450985,78.09339905,Madurai
26491,VEBD,medium_airport,Bagdogra Airport,26.68120003,88.32859802,Siliguri
26523,VEVZ,small_airport,Vishakhapatnam Airport,17.72120094,83.22450256,Visakhapatnam
26570,VILK,medium_airport,Chaudhary Charan Singh International Airport,26.76059914,80.88929749,Lucknow
26550,VICG,medium_airport,Chandigarh Airport,30.67350006,76.78849792,Chandigarh
26461,VASU,medium_airport,Surat Airport,21.1140995,72.7417984,Surat
30171,VAJJ,small_airport,Juhu Aerodrome,19.09810066,72.834198,Mumbai
26620,VOPB,medium_airport,Vir Savarkar International Airport,11.64120007,92.72969818,Port Blair
26459,VARP,small_airport,Raipur Airport,21.180401,81.7388,Raipur
26578,VISR,medium_airport,Sheikh ul Alam Airport,33.98709869,74.77420044,Srinagar
26453,VANP,medium_airport,Dr. Babasaheb Ambedkar International Airport,21.09219933,79.04720306,Naqpur
26462,VAUD,medium_airport,Maharana Pratap Airport,24.61770058,73.89610291,Udaipur
26433,VAAU,medium_airport,Aurangabad Airport,19.86269951,75.39810181,Aurangabad
26519,VERC,medium_airport,Birsa Munda Airport,23.31430054,85.32170105,Ranchi
26436,VABJ,medium_airport,Bhuj Airport,23.28779984,69.67019653,Bhuj
26606,VOBZ,medium_airport,Vijayawada Airport,16.53039932,80.79679871,Gannavaram
26489,VEAT,medium_airport,Agartala Airport,23.88699913,91.24040222,Agartala
26507,VEJT,medium_airport,Jorhat Airport,26.73150063,94.17549896,Jorhat
26622,VOPN,medium_airport,Sri Sathya Sai Airport,14.14929962,77.79109955,Puttaparthi
3319,VE89,small_airport,Darbhanga Airport,26.19280052,85.91690063,Darbhanga 
3299,VA2C,small_airport,Gondia Airport,21.52619934,80.29039764,Gondia
26458,VARK,medium_airport,Rajkot Airport,22.30920029,70.77950287,Rajkot
26439,VABP,medium_airport,Raja Bhoj International Airport,23.28750038,77.33740234,Bhopal
